INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,10,2023-01-02,2025-12-15,739,158,81.35,0.214
2733,ТРОКСЕРУТИН,4,2023-01-16,2025-12-15,501,72,31.2,0.144
2757,ТОБРАМИЦИН,1,2023-01-02,2025-12-01,153,50,26.26,0.327
2963,НАФТИФИН,8,2023-01-30,2025-12-29,827,78,35.03,0.094
2969,НАПРОКСЕН,4,2023-01-09,2025-12-15,517,112,40.64,0.217
3016,МЕСАЛАЗИН,2,2023-05-22,2025-12-01,31,4,1.42,0.129
3030,ЛОРАТАДИН,10,2023-01-02,2025-12-22,658,138,113.24000000000001,0.21
3138,ИБУПРОФЕН,53,2023-01-02,2025-12-29,5606,1132,636.35,0.202
3147,ДРОТАВЕРИН,11,2023-01-02,2025-12-29,1354,371,236.01,0.274
3170,ДИКЛОФЕНАК,46,2023-01-02,2025-12-29,4313,714,313.87,0.166
3225,ГЕПАРИН НАТРИЙ,5,2023-01-09,2025-12-22,488,73,30.779999999999998,0.15
3297,АЦИКЛОВИР,17,2023-01-02,2025-12-29,1843,296,139.3,0.161
40218,ДЕЗЛОРАТАДИН,12,2023-01-09,2025-12-22,951,140,66.58,0.147
60436,ЛЕРКАНИДИПИН,6,2023-01-23,2025-11-03,557,74,20.89,0.133
73487,ИНСУЛИН ГЛУЛИЗИН,1,2025-04-28,2025-06-09,7,2,0.22000000000000003,0.286
80617,ПРЕГАБАЛИН,19,2023-01-02,2025-12-22,1615,220,109.0,0.136
95259,РЕБАМИПИД,2,2023-02-20,2025-12-01,160,19,7.46,0.119
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-02,2025-08-18,244,31,11.77,0.127
298137,БИЛАСТИН,5,2023-01-02,2025-12-08,496,124,60.39,0.25
790221,ЭДОКСАБАН,1,2023-01-30,2025-12-15,151,14,3.7199999999999998,0.093
