EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,MARKET_DURING_Q
108139_106853_0001,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-03-27,2023-04-03,2,2023-02-27,2023-03-20,4,0.11,16.62
108139_106853_0002,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-04-17,2023-05-08,4,2023-03-20,2023-04-10,4,0.235,13.0
108139_106853_0003,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-05-22,2023-05-22,1,2023-04-24,2023-05-15,4,0.0525,3.0
108139_106853_0004,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-06-12,2023-07-03,4,2023-05-15,2023-06-05,4,0.2,9.25
108139_106853_0005,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-07-17,2023-08-28,7,2023-06-19,2023-07-10,4,0.095,21.0
108139_106853_0006,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-09-11,2023-10-16,6,2023-08-14,2023-09-04,4,0.055,31.0
108139_106853_0007,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-10-30,2023-12-04,6,2023-10-02,2023-10-23,4,0.0725,46.0
108139_106853_0008,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2023-12-25,2024-01-29,6,2023-11-27,2023-12-18,4,0.135,37.0
108139_106853_0009,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-02-12,2024-02-26,3,2024-01-15,2024-02-05,4,0.115,25.0
108139_106853_0010,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-03-11,2024-06-24,16,2024-02-12,2024-03-04,4,0.1125,86.94
108139_106853_0011,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-07-08,2024-09-16,11,2024-06-10,2024-07-01,4,0.065,41.71
108139_106853_0012,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-09-30,2024-10-28,5,2024-09-02,2024-09-23,4,0.0725,27.0
108139_106853_0013,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-11-11,2024-12-02,4,2024-10-14,2024-11-04,4,0.0975,18.08
108139_106853_0014,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",Для введения в легкие,Жидкости,2024-12-16,2025-01-27,7,2024-11-18,2024-12-09,4,0.2,32.03
108139_106853_0015,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2023-04-03,2023-05-08,6,2023-03-06,2023-03-27,4,0.135,20.03
108139_106853_0016,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2023-05-22,2023-11-27,28,2023-04-24,2023-05-15,4,0.085,111.26
108139_106853_0017,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2023-12-11,2023-12-25,3,2023-11-13,2023-12-04,4,0.07,19.0
108139_106853_0018,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2024-01-08,2024-01-15,2,2023-12-11,2024-01-01,4,0.0975,9.0
108139_106853_0019,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2024-01-29,2024-04-01,10,2024-01-01,2024-01-22,4,0.1625,64.0
108139_106853_0020,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2024-04-15,2024-09-02,21,2024-03-18,2024-04-08,4,0.085,97.19
108139_106853_0021,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2024-09-16,2025-03-03,25,2024-08-19,2024-09-09,4,0.09,123.24
108139_106853_0022,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2025-03-17,2025-05-05,8,2025-02-17,2025-03-10,4,0.0775,22.27
108139_106853_0023,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2025-05-19,2025-06-23,6,2025-04-21,2025-05-12,4,0.0625,6.0
108139_106853_0024,108139,106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",Для введения в легкие,Аэрозоли под давлением,2025-07-07,2025-08-11,6,2025-06-09,2025-06-30,4,0.1025,13.21
108139_2733_0025,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-01,2023-05-15,3,2023-04-03,2023-04-24,4,0.275,46.12
108139_2733_0026,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-29,2023-06-05,2,2023-05-01,2023-05-22,4,0.255,29.0
108139_2733_0027,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-26,2023-07-03,2,2023-05-29,2023-06-19,4,0.265,26.2
108139_2733_0028,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-07-17,2023-07-17,1,2023-06-19,2023-07-10,4,0.22,14.42
108139_2733_0029,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-07-31,2023-08-07,2,2023-07-03,2023-07-24,4,0.2575,20.34
108139_2733_0030,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-28,2023-11-13,12,2023-07-31,2023-08-21,4,0.23,145.78
108139_2733_0031,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-11-27,2023-12-18,4,2023-10-30,2023-11-20,4,0.065,47.05
108139_2733_0032,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-01-08,2024-02-19,7,2023-12-11,2024-01-01,4,0.2325,65.23
108139_2733_0033,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-04,2024-03-11,2,2024-02-05,2024-02-26,4,0.0725,24.2
108139_2733_0034,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-25,2024-03-25,1,2024-02-26,2024-03-18,4,0.1575,14.4
108139_2733_0035,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-08,2024-05-13,6,2024-03-11,2024-04-01,4,0.295,82.0
108139_2733_0036,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-05-27,2024-05-27,1,2024-04-29,2024-05-20,4,0.06,14.34
108139_2733_0037,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-06-10,2025-02-17,37,2024-05-13,2024-06-03,4,0.1525,330.91
108139_2733_0038,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-03-03,2025-03-03,1,2025-02-03,2025-02-24,4,0.155,13.39
108139_2733_0039,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-03-24,2025-04-14,4,2025-02-24,2025-03-17,4,0.31,36.95
108139_2733_0040,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-04-28,2025-07-28,14,2025-03-31,2025-04-21,4,0.17,135.63
108139_2733_0041,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-08-11,2025-08-25,3,2025-07-14,2025-08-04,4,0.1175,18.0
108139_2733_0042,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-09-22,2025-09-22,1,2025-08-25,2025-09-15,4,0.315,5.4
108139_2733_0043,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-10-06,2025-11-03,5,2025-09-08,2025-09-29,4,0.35,8.6
108139_2733_0044,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-11-17,2025-11-24,2,2025-10-20,2025-11-10,4,0.1025,4.0
108139_2733_0045,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-12-08,2025-12-08,1,2025-11-10,2025-12-01,4,0.2675,1.0
108139_2733_0046,108139,2733,ТРОКСЕРУТИН,36225,"ТРОКСЕРУТИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), гель 20 мг/г туба 30 г, #1","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-21,2025-03-17,83,2023-07-24,2023-08-14,4,0.4025,877.91
108139_2733_0047,108139,2733,ТРОКСЕРУТИН,36225,"ТРОКСЕРУТИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), гель 20 мг/г туба 30 г, #1","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-03-31,2025-04-14,3,2025-03-03,2025-03-24,4,0.07,24.65
108139_2733_0048,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2023-07-31,2023-08-07,2,2023-07-03,2023-07-24,4,0.1075,20.34
108139_2733_0049,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2023-08-28,2023-09-04,2,2023-07-31,2023-08-21,4,0.205,31.78
108139_2733_0050,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2023-09-25,2024-06-10,38,2023-08-28,2023-09-18,4,0.0975,447.42
108139_2733_0051,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2024-06-24,2025-02-24,36,2024-05-27,2024-06-17,4,0.105,317.85
108139_2733_0052,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-03-10,2025-06-09,14,2025-02-10,2025-03-03,4,0.0475,121.22
108139_2733_0053,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-06-23,2025-06-23,1,2025-05-26,2025-06-16,4,0.0225,8.0
108139_2733_0054,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-07-14,2025-07-14,1,2025-06-16,2025-07-07,4,0.1425,10.79
108139_2733_0055,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-07-28,2025-07-28,1,2025-06-30,2025-07-21,4,0.2575,19.4
108139_2733_0056,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-08-11,2025-09-22,7,2025-07-14,2025-08-04,4,0.255,36.0
108139_2733_0057,108139,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2025-10-06,2025-10-20,3,2025-09-08,2025-09-29,4,0.05,6.2
108139_2733_0058,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-02-13,2023-03-20,6,2023-01-16,2023-02-06,4,0.26,44.51
108139_2733_0059,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-04-03,2023-04-03,1,2023-03-06,2023-03-27,4,0.1375,14.93
108139_2733_0060,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-04-17,2023-04-17,1,2023-03-20,2023-04-10,4,0.255,11.91
108139_2733_0061,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-08,2023-05-15,2,2023-04-10,2023-05-01,4,0.2275,28.5
108139_2733_0062,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-05,2023-06-05,1,2023-05-08,2023-05-29,4,0.21,14.0
108139_2733_0063,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-19,2023-08-14,9,2023-05-22,2023-06-12,4,0.3325,124.66
108139_2733_0064,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-28,2023-11-20,13,2023-07-31,2023-08-21,4,0.2,159.58
108139_2733_0065,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-12-04,2024-01-22,8,2023-11-06,2023-11-27,4,0.065,75.45
108139_2733_0066,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-02-05,2024-02-26,4,2024-01-08,2024-01-29,4,0.095,39.43
108139_2733_0067,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-11,2024-04-22,7,2024-02-12,2024-03-04,4,0.0625,91.6
108139_2733_0068,108139,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-06-03,2024-06-03,1,2024-05-06,2024-05-27,4,0.415,19.0
