EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
129455_2733_0037,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-03-20,2023-03-27,2,2023-02-20,2023-03-13,4,0.25,2023-04-03,2023-04-24,4,valid,14.38,7.0,0.486787,0.5132,0.0,0.5132,1.0,0.0,1,1,0.5132,0.0,1.0,0.0
129455_2733_0038,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-04-10,2023-04-24,3,2023-03-13,2023-04-03,4,0.5,2023-05-01,2023-05-22,4,valid,9.3,2.97,0.319355,0.3313,0.9161,1.2474,0.265581,0.734419,1,1,0.3313,0.0,1.0,0.0
129455_2733_0039,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-15,2023-05-22,2,2023-04-17,2023-05-08,4,0.5,2023-05-29,2023-06-19,4,valid,5.55,7.97,1.436036,0.0,1.3381,1.3381,0.0,1.0,1,0,0.0,0.0,,
129455_2733_0040,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-26,2023-07-31,6,2023-05-29,2023-06-19,4,0.995,2023-08-07,2023-08-28,4,valid,26.11,29.16,1.116813,0.9032,3.92,4.8232,0.187259,0.812741,1,1,0.9032,0.0,1.0,0.0
129455_2733_0041,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-14,2023-09-11,5,2023-07-17,2023-08-07,4,0.2225,2023-09-18,2023-10-09,4,valid,11.63,13.41,1.153052,0.0,4.7432,4.7432,0.0,1.0,1,0,0.0,0.0,,
129455_2733_0042,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-09-25,2023-09-25,1,2023-08-28,2023-09-18,4,0.25,2023-10-02,2023-10-23,4,valid,7.78,1.67,0.214653,0.7896,0.8114,1.601,0.493208,0.506792,1,1,0.7896,0.0,1.0,0.0
129455_2733_0044,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-11-13,2023-11-20,2,2023-10-16,2023-11-06,4,0.25,2023-11-27,2023-12-18,4,valid,11.89,3.0,0.252313,1.0,0.1421,1.1421,0.875552,0.124448,1,1,1.0,0.0,1.0,0.0
129455_2733_0045,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-12-04,2024-02-26,13,2023-11-06,2023-11-27,4,0.5,2024-03-04,2024-03-25,4,valid,5.49,30.57,5.568306,0.0,11.48,11.48,0.0,1.0,1,0,0.0,0.0,,
129455_2733_0046,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-11,2024-03-18,2,2024-02-12,2024-03-04,4,0.25,2024-03-25,2024-04-15,4,valid,7.0,6.27,0.895714,0.0,3.1043,3.1043,0.0,1.0,1,0,0.0,0.0,,
129455_2733_0047,129455,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-15,2024-04-22,2,2024-03-18,2024-04-08,4,1.0025,2024-04-29,2024-05-20,4,valid,7.27,1.32,0.181568,3.0,0.32,3.32,0.903614,0.096386,1,1,3.0,0.0,1.0,0.0
