INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,28,26,92.9
2733,ТРОКСЕРУТИН,8,71,60,84.5
2757,ТОБРАМИЦИН,1,19,18,94.7
2963,НАФТИФИН,7,22,14,63.6
2969,НАПРОКСЕН,2,20,18,90.0
298137,БИЛАСТИН,2,13,12,92.3
3016,МЕСАЛАЗИН,2,22,4,18.2
3030,ЛОРАТАДИН,5,58,52,89.7
3138,ИБУПРОФЕН,32,295,253,85.8
3147,ДРОТАВЕРИН,8,155,138,89.0
3170,ДИКЛОФЕНАК,36,313,237,75.7
3225,ГЕПАРИН НАТРИЙ,8,57,45,78.9
3297,АЦИКЛОВИР,12,119,102,85.7
350,АРГИНИН,9,90,79,87.8
40218,ДЕЗЛОРАТАДИН,6,44,35,79.5
60436,ЛЕРКАНИДИПИН,7,55,48,87.3
790221,ЭДОКСАБАН,2,48,45,93.8
80617,ПРЕГАБАЛИН,21,177,105,59.3
95259,РЕБАМИПИД,1,9,8,88.9
