INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,34,4,0.33937797058823527,0.6606220294117646,0.325,17.8572,204.0779
2733,ТРОКСЕРУТИН,14,3,0.10036271428571429,0.8996372857142857,1.0,0.8799999999999999,91.3845
2757,ТОБРАМИЦИН,30,1,0.0,1.0,,0.0,44.865700000000004
2963,НАФТИФИН,4,3,0.75,0.25,1.0,2.57,0.5335
2969,НАПРОКСЕН,29,3,0.38315379310344827,0.6168462068965517,1.0,23.0625,112.356
3030,ЛОРАТАДИН,44,4,0.4529455909090909,0.5470544090909091,1.0,129.5169,263.0722
3138,ИБУПРОФЕН,356,37,0.7853716713483145,0.2146283286516854,0.6791688338028169,4376.5911,1503.9687
3147,ДРОТАВЕРИН,107,11,0.5059968411214953,0.4940031588785047,1.0,415.14279999999997,520.1558
3170,ДИКЛОФЕНАК,147,25,0.4692894965986395,0.5307105034013605,0.8330890975609756,266.9734,701.4348
3225,ГЕПАРИН НАТРИЙ,24,3,0.37054237500000003,0.629457625,1.0,22.2527,118.6016
3297,АЦИКЛОВИР,85,10,0.46693218823529414,0.5330678117647059,1.0,202.1559,439.2752
40218,ДЕЗЛОРАТАДИН,54,6,0.5267197037037037,0.4732802962962963,0.4868666862745098,110.9492,205.2377
60436,ЛЕРКАНИДИПИН,11,2,0.1717342727272727,0.8282657272727273,1.0,2.55,31.2031
80617,ПРЕГАБАЛИН,47,7,0.389588170212766,0.6104118297872341,1.0,188.5007,324.872
95259,РЕБАМИПИД,3,1,0.0,1.0,,0.0,5.456799999999999
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,8,1,0.200872375,0.799127625,1.0,2.0075000000000003,13.5123
298137,БИЛАСТИН,26,2,0.29949888461538465,0.7005011153846153,1.0,16.8739,112.6513
