CLIENT_ID,DRUGS_ID,DRUGS_NAME,INN_ID,INN_NAME,NFC1_ID,EVENTS_COUNT,TOTAL_STOCKOUT_WEEKS,FIRST_STOCKOUT_DATE,LAST_STOCKOUT_DATE,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,TOTAL_LIFT_SAME_NFC1,TOTAL_LIFT_DIFF_NFC1,SHARE_INTERNAL,SHARE_LOST,SHARE_SAME_NFC1,SHARE_DIFF_NFC1,CLASSIFICATION,RECOMMENDATION
108139,6572,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 50 г, #1",3138,ИБУПРОФЕН,"Местно действующие, дерматологические, антигеморроидальные, наружные",7,81,2023-01-30,2025-09-22,0.0,55.9222,55.9222,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,33729,"ТОБРЕКС®, Novartis Pharma (Швейцария), кап. глаз. 0,3 % фл.-капельн. 5 мл, #1",2757,ТОБРАМИЦИН,Офтальмологические,25,85,2023-03-06,2025-08-11,0.0,20.7505,20.7505,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,89669,"МУКОГЕН, Macleods Pharmaceuticals Ltd (Индия), табл. п/о 100 мг стрип, #30",95259,РЕБАМИПИД,Пероральные твердые обычные,7,104,2023-04-10,2025-06-23,0.0,18.3282,18.3282,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,95127,"НУРОФЕН ДЛЯ ДЕТЕЙ, Reckitt Benckiser Healthcare International  (Великобритания), супп. ректал. 60 мг, #10",3138,ИБУПРОФЕН,Ректальные системные,3,9,2023-04-24,2024-07-01,0.0,12.9789,12.9789,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",2733,ТРОКСЕРУТИН,Пероральные твердые обычные,5,49,2023-08-28,2025-09-22,0.0,44.7188,44.7188,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,725968,"ВАНЛЕРК, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 10 мг блистер, #30",60436,ЛЕРКАНИДИПИН,Пероральные твердые обычные,1,2,2023-09-04,2023-09-11,0.0,0.4909,0.4909,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,813369,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",790221,ЭДОКСАБАН,Пероральные твердые обычные,8,122,2023-04-03,2025-10-06,0.0,12.3719,12.3719,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,1014022,"НО-ШПА® ДЛЯ ИНЪЕКЦИЙ, Opella Healthcare International  (Франция), р-р д/ин. 40 мг амп. 2 мл, #25",3147,ДРОТАВЕРИН,Парентеральные обычные,14,48,2023-03-20,2025-10-20,0.0,14.452,14.452,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,379544,"ОЛФЕН®, Teva (Израиль), пластырь лечебный 140 мг/12 часов пакет, #2",3170,ДИКЛОФЕНАК,Прочие системные,1,3,2023-03-06,2023-03-20,0.0607,7.8622,7.9229,0.0606546600000001,0.0,0.007656,0.992344,0.999253047775949,0.0,CRITICAL,KEEP - High loss to competitors
108139,63472,"АЦИКЛОВИР-ФАРМАК, Фармак АО (Украина, Киев), табл. 200 мг, #20",3297,АЦИКЛОВИР,Пероральные твердые обычные,1,2,2025-08-25,2025-09-01,0.2675,4.0,4.2675,0.2674515,0.0,0.062672,0.937328,0.999818691588785,0.0,CRITICAL,KEEP - High loss to competitors
108139,78935,"ЛЕРКАМЕН® 20, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 20 мг блистер, #28",60436,ЛЕРКАНИДИПИН,Пероральные твердые обычные,2,53,2024-05-13,2025-05-19,2.38,29.499,31.879,2.38,0.0,0.090586,0.909414,1.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,27414,"ДИКЛОФЕНАК НАТРИЯ, Монфарм ПАО (Украина, Монастырище), супп. ректал. 0,05 г стрип, #10",3170,ДИКЛОФЕНАК,Ректальные системные,2,7,2023-05-01,2023-07-03,0.7941,7.68,8.4741,0.7940927999999999,0.0,0.0964405,0.9035595,0.9999909331318473,0.0,CRITICAL,KEEP - High loss to competitors
108139,449775,"ПРЕГАБАЛИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), капс. 150 мг контурн. ячейк. уп., #21",80617,ПРЕГАБАЛИН,Пероральные твердые обычные,3,77,2023-10-02,2025-03-31,11.56,74.9558,86.5158,11.56,0.0,0.1013816666666666,0.8986183333333333,1.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,149164,"ЛЕРКАМЕН® 10, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 10 мг, #60",60436,ЛЕРКАНИДИПИН,Пероральные твердые обычные,9,80,2023-02-20,2025-07-07,6.6456,79.17750000000001,85.82300000000001,6.64559046,0.0,0.1519997777777778,0.8480002222222223,0.9999985644637054,0.0,CRITICAL,KEEP - High loss to competitors
108139,156975,"ДИКЛАК® ГЕЛЬ, Sandoz (Швейцария), гель 5 % туба 100 г, #1",3170,ДИКЛОФЕНАК,"Местно действующие, дерматологические, антигеморроидальные, наружные",2,33,2024-03-04,2024-10-21,4.3,25.7137,30.0137,4.300000000000001,0.0,0.1668255,0.8331745,1.0000000000000002,0.0,CRITICAL,KEEP - High loss to competitors
108139,156589,"ЛЕРКАМЕН® 20, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 20 мг блистер, #60",60436,ЛЕРКАНИДИПИН,Пероральные твердые обычные,7,28,2023-05-15,2024-04-08,2.9955,14.4707,17.4661,2.99546283,0.0,0.1791824285714285,0.8208175714285714,0.9999875913870807,0.0,CRITICAL,KEEP - High loss to competitors
108139,235559,"НАЛГЕЗИН ФОРТЕ, KRKA d.d. Novo Mesto  (Словения), табл. п/плен. оболочкой 550 мг, #20",2969,НАПРОКСЕН,Пероральные твердые обычные,14,73,2023-05-08,2025-10-06,4.6796,80.8712,85.55080000000001,4.67958016,0.0,0.1814455714285714,0.8185544285714286,0.9999957603213951,0.0,CRITICAL,KEEP - High loss to competitors
108139,114335,"ГЛУТАРГИН, Здоровье Группа компаний ООО (Украина, Харьков), табл. 0,75 г блистер, #30",350,АРГИНИН,Пероральные твердые обычные,14,36,2023-04-03,2025-10-27,2.4822,65.6488,68.1311,1.3341788,1.14796422,0.1982656428571428,0.8017343571428571,0.5374985093868343,0.4624785351704133,CRITICAL,KEEP - High loss to competitors
108139,38325,"ЛОРАТАДИН, Фармак АО (Украина, Киев), табл. 0,01 г блистер, #20",3030,ЛОРАТАДИН,Пероральные твердые обычные,6,14,2025-04-14,2025-11-24,3.5634,16.3313,19.8947,3.5633871200000002,0.0,0.2024936666666666,0.7975063333333333,0.9999963854745468,0.0,CRITICAL,KEEP - High loss to competitors
108139,8609,"ЛИОТОН® 1000 ГЕЛЬ, Berlin-Chemie  (Германия), гель туба 50 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",17,75,2023-02-20,2025-06-23,2.9268,40.9967,43.9235,2.9267475000000003,0.0,0.2206394705882353,0.7793605294117647,0.9999820623206233,0.0,CRITICAL,KEEP - High loss to competitors
108139,60260,"ЛЕРКАМЕН® 10, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 10 мг, #28",60436,ЛЕРКАНИДИПИН,Пероральные твердые обычные,7,83,2023-10-30,2025-10-06,6.7492,30.4134,37.1626,6.74924502,0.0,0.2296297142857142,0.7703702857142858,1.000006670420198,0.0,CRITICAL,KEEP - High loss to competitors
108139,190973,"НО-ШПА®, Opella Healthcare International  (Франция), табл. 40 мг блистер, #24",3147,ДРОТАВЕРИН,Пероральные твердые обычные,19,28,2023-08-28,2025-11-10,8.5722,116.4491,125.0214,8.57223889,0.0,0.2326097894736842,0.7673902105263157,1.0000045367583583,0.0,CRITICAL,KEEP - High loss to competitors
108139,175989,"НИКСАР, Berlin-Chemie  (Германия), табл. 20 мг блистер, #10",298137,БИЛАСТИН,Пероральные твердые обычные,22,63,2023-03-13,2025-10-27,9.9147,70.2561,80.1708,9.91469126,0.0,0.2418249545454545,0.7581750454545454,0.9999991184806398,0.0,CRITICAL,KEEP - High loss to competitors
108139,643137,"СОЛАРГИН, Macleods Pharmaceuticals Ltd (Индия), р-р д/инф. 42 мг/мл контейнер 100 мл, #1",350,АРГИНИН,Парентеральные обычные,1,20,2023-04-24,2023-09-04,2.46,7.3794,9.8394,2.46,0.0,0.250016,0.749984,1.0,0.0,CRITICAL,KEEP - High loss to competitors
108139,379545,"ОЛФЕН®, Teva (Израиль), пластырь лечебный 140 мг/12 часов пакет, #5",3170,ДИКЛОФЕНАК,Прочие системные,8,113,2023-02-06,2025-08-11,1.3603,34.2182,35.5785,1.3602648,0.0,0.254437875,0.745562125,0.9999741233551421,0.0,CRITICAL,KEEP - High loss to competitors
108139,61954,"ДРОТАВЕРИНА ГИДРОХЛОРИД, Лубныфарм АО (Украина, Лубны), табл. 40 мг блистер, в пачке, #20",3147,ДРОТАВЕРИН,Пероральные твердые обычные,3,25,2025-04-07,2025-11-03,7.8072,12.878199999999998,20.6855,7.807216680000002,0.0,0.2553669999999999,0.744633,1.0000021364893945,0.0,CRITICAL,KEEP - High loss to competitors
108139,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г",2733,ТРОКСЕРУТИН,"Местно действующие, дерматологические, антигеморроидальные, наружные",11,80,2023-05-29,2025-08-25,3.6578,95.9637,99.6215,3.65779343,0.0,0.2619103636363636,0.7380896363636363,0.9999982038383728,0.0,CRITICAL,KEEP - High loss to competitors
108139,74437,"ГЕРПЕВИР®, Корпорация Артериум  (Украина, Киев), мазь 25 мг/г туба 15 г",3297,АЦИКЛОВИР,"Местно действующие, дерматологические, антигеморроидальные, наружные",5,76,2023-09-04,2025-03-10,6.429,73.0054,79.4344,6.42900488,0.0,0.2619124,0.7380876,1.0000007590605071,0.0,CRITICAL,KEEP - High loss to competitors
108139,31881,"ДИКЛОФЕНАК-ДАРНИЦА, Дарница ЧАО (Украина, Киев), р-р д/ин. 25 мг/мл амп. 3 мл, контурн. ячейк. уп., пачка, #10",3170,ДИКЛОФЕНАК,Парентеральные обычные,12,67,2023-03-06,2024-12-23,10.0829,23.4738,33.5567,10.08285751,0.0,0.2643794166666666,0.7356205833333332,0.9999957859346021,0.0,CRITICAL,KEEP - High loss to competitors
